kernel,backend,size,algorithm,trial,mean_best_ms,median_best_ms,std_best_ms,ci95_ms,min_best_ms,max_best_ms
matmul,sycl,2048,bayesian,2,6.315366339683533,6.373887896537781,1.4315739293821377,0.8872987141298614,4.13593602180481,7.927295923233032
matmul,sycl,2048,bayesian,3,5.748223972320557,5.744639992713928,1.0923125393757291,0.6770223260731736,4.13593602180481,7.853568077087402
matmul,sycl,2048,bayesian,4,5.516799998283386,5.546496033668518,1.0587219630573637,0.656202671172759,4.13593602180481,7.853568077087402
matmul,sycl,2048,bayesian,5,5.154713582992554,5.174783945083618,0.6225994571490812,0.3858911414967979,4.13593602180481,6.055935859680176
matmul,sycl,2048,bayesian,6,5.116927981376648,5.072383999824524,0.6288825476734496,0.389785441349995,4.13593602180481,6.055935859680176
matmul,sycl,2048,bayesian,7,5.023232007026673,5.072383999824524,0.5338546179089502,0.330886520270275,4.13593602180481,5.802495956420898
matmul,sycl,2048,bayesian,8,4.881100797653199,4.9397759437561035,0.4520383518147421,0.2801762731706863,4.13593602180481,5.574144124984741
matmul,sycl,2048,bayesian,9,4.829747200012207,4.869887948036194,0.41549388114339986,0.2575257755821801,4.13593602180481,5.574144124984741
matmul,sycl,2048,bayesian,10,4.73487355709076,4.8012800216674805,0.3161295748641557,0.19593914049304353,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,11,4.709887981414795,4.7718400955200195,0.2983362032274111,0.18491069449435715,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,12,4.709887981414795,4.7718400955200195,0.2983362032274111,0.18491069449435715,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,13,4.709887981414795,4.7718400955200195,0.2983362032274111,0.18491069449435715,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,14,4.692070388793946,4.7718400955200195,0.31411199582365146,0.1946886320480711,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,15,4.680550360679627,4.7718400955200195,0.3048876269110502,0.18897130896274283,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,16,4.654540801048279,4.7718400955200195,0.33046287728914886,0.2048230133758222,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,17,4.650393605232239,4.7718400955200195,0.3274747525985701,0.20297095450467853,4.13593602180481,5.099008083343506
matmul,sycl,2048,bayesian,18,4.623718404769898,4.7718400955200195,0.367323989389443,0.2276697673552718,4.036607980728149,5.099008083343506
matmul,sycl,2048,bayesian,19,4.623308801651001,4.7718400955200195,0.3667369198847028,0.22730589790642983,4.036607980728149,5.094912052154541
matmul,sycl,2048,bayesian,20,4.578457593917847,4.71833598613739,0.3708947488217443,0.22988294698066178,4.036607980728149,5.094912052154541
