kernel,backend,size,M,N,K,config_id,BM,BN,BK,TM,TN,algorithms,sample_count,mean_time_ms,best_time_ms,mean_gflops,best_gflops,threads_per_block,shared_memory_bytes,active_blocks_per_sm,theoretical_occupancy
matmul,cuda,1024,1024,1024,1024,32_64_32_1_4,32,64,32,1,4,bayesian;random,3,0.5105013400316238,0.48582400381565094,4216.421327989974,4420.291362990942,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_32_2_2,32,64,32,2,2,bayesian,3,0.3268586645523707,0.31782400608062744,6572.623034821145,6756.832734199486,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_32_2_4,32,64,32,2,4,bayesian;random,3,0.29635733366012573,0.29475198686122894,7246.654815843569,7285.730864338664,256,12288,4,0.5
matmul,cuda,1024,1024,1024,1024,32_64_32_4_1,32,64,32,4,1,random,1,0.4349279999732971,0.4349279999732971,4937.561270214489,4937.561270214489,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_32_4_2,32,64,32,4,2,bayesian;random,5,0.31614400148391725,0.2557760030031204,6873.068816531252,8395.954361573948,256,12288,4,0.5
matmul,cuda,1024,1024,1024,1024,32_64_32_4_4,32,64,32,4,4,random,3,0.2786506662766139,0.25753599405288696,7773.678770848138,8338.576733312852,128,12288,4,0.25
matmul,cuda,1024,1024,1024,1024,32_64_8_1_4,32,64,8,1,4,bayesian;random,2,0.5871360152959824,0.5253120064735413,3698.5655015180046,4088.015544164349,512,3072,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_8_2_2,32,64,8,2,2,bayesian;random,7,0.4332228558404105,0.36235199868679047,5007.70909207868,5926.512495536806,512,3072,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_8_2_4,32,64,8,2,4,bayesian;random,7,0.32339428790978025,0.30054400861263275,6657.70968813947,7145.321771387776,256,3072,8,1.0
matmul,cuda,1024,1024,1024,1024,32_64_8_4_1,32,64,8,4,1,bayesian;random,3,0.44303999344507855,0.39399999380111694,4891.350802231391,5450.466197428433,512,3072,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_8_4_2,32,64,8,4,2,bayesian;random,6,0.3136720061302185,0.2764800041913986,6907.0878981802625,7767.229511879503,256,3072,8,1.0
matmul,cuda,1024,1024,1024,1024,32_64_8_4_4,32,64,8,4,4,bayesian;random,5,0.26898880302906036,0.2502399981021881,8067.44110127095,8581.696228766164,128,3072,16,1.0
matmul,cuda,1024,1024,1024,1024,64_128_16_4_4,64,128,16,4,4,bayesian;random,5,0.5160191982984543,0.4403039962053299,4187.413423607656,4877.2749430113045,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,64_128_32_4_4,64,128,32,4,4,bayesian;random,4,0.4600199982523918,0.4004160016775131,4713.483117694378,5363.13144080975,512,24576,2,0.5
matmul,cuda,1024,1024,1024,1024,64_128_8_4_4,64,128,8,4,4,random,2,0.43621599674224854,0.3882399946451187,4983.260293637793,5531.330305016529,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_16_1_4,64,32,16,1,4,bayesian;random,2,0.5889680087566376,0.5302560031414032,3682.7775000132187,4049.8997376316947,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_16_2_2,64,32,16,2,2,bayesian;random,9,0.36557333171367645,0.3415360003709793,5914.309783110538,6287.722657838076,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_16_2_4,64,32,16,2,4,bayesian;random,6,0.35916533321142197,0.32863999903202057,6024.143850685887,6534.456104933116,256,6144,8,1.0
matmul,cuda,1024,1024,1024,1024,64_32_16_4_1,64,32,16,4,1,bayesian;random,4,0.4353559985756874,0.4078720062971115,4939.657748664844,5265.092026040347,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_16_4_2,64,32,16,4,2,random,1,0.2571519911289215,0.2571519911289215,8351.028660413416,8351.028660413416,256,6144,8,1.0
matmul,cuda,1024,1024,1024,1024,64_32_16_4_4,64,32,16,4,4,bayesian;random,5,0.3102783977985382,0.2608959972858429,6987.202357837293,8231.18664272635,128,6144,8,0.5
matmul,cuda,1024,1024,1024,1024,64_32_32_1_4,64,32,32,1,4,bayesian;random,3,0.6645546754201254,0.6315840184688568,3246.675957409101,3400.1551419969815,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_32_2_2,64,32,32,2,2,bayesian;random,5,0.36592960059642793,0.3161119967699051,5936.827033290667,6793.42660178485,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_32_2_4,64,32,32,2,4,bayesian;random,4,0.3944240026175976,0.3263840079307556,5506.440548173272,6579.622762815027,256,12288,4,0.5
matmul,cuda,1024,1024,1024,1024,64_32_32_4_1,64,32,32,4,1,bayesian;random,4,0.5705320090055466,0.4739679992198944,3818.358088568907,4530.862107852326,512,12288,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_32_4_2,64,32,32,4,2,bayesian;random,4,0.5842520035803318,0.4801280051469803,3720.488204059294,4472.731490308708,256,12288,4,0.5
matmul,cuda,1024,1024,1024,1024,64_32_32_4_4,64,32,32,4,4,bayesian;random,5,0.2999871999025345,0.2518400102853775,7251.0512233848285,8527.174238781741,128,12288,4,0.25
matmul,cuda,1024,1024,1024,1024,64_32_8_1_4,64,32,8,1,4,bayesian;random,6,0.5871413399775823,0.5227999985218048,3696.9594684343338,4107.65809883688,512,3072,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_8_2_2,64,32,8,2,2,bayesian;random,6,0.43804800262053806,0.4039200097322464,4934.149857891518,5316.606249399579,512,3072,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_8_2_4,64,32,8,2,4,bayesian;random,4,0.3875199966132641,0.34219199419021606,5577.16506257841,6275.668877297775,256,3072,8,1.0
matmul,cuda,1024,1024,1024,1024,64_32_8_4_1,64,32,8,4,1,bayesian;random,6,0.43059466530879337,0.3932960033416748,5032.733005739345,5460.222401839104,512,3072,4,1.0
matmul,cuda,1024,1024,1024,1024,64_32_8_4_2,64,32,8,4,2,bayesian;random,6,0.3418746714790662,0.29318399727344513,6352.926771004015,7324.695986040117,256,3072,8,1.0
matmul,cuda,1024,1024,1024,1024,64_32_8_4_4,64,32,8,4,4,bayesian;random,5,0.3333024024963379,0.28539200127124786,6515.934068775735,7524.680574207637,128,3072,16,1.0
matmul,cuda,1024,1024,1024,1024,64_64_16_2_4,64,64,16,2,4,bayesian;random,2,0.36185599863529205,0.34988799691200256,5941.13495168133,6137.631661997528,512,8192,4,1.0
matmul,cuda,1024,1024,1024,1024,64_64_16_4_2,64,64,16,4,2,bayesian;random,5,0.33215360045433046,0.2995520085096359,6519.13363943971,7168.984306546287,512,8192,4,1.0
matmul,cuda,1024,1024,1024,1024,64_64_16_4_4,64,64,16,4,4,bayesian;random,4,0.32625599578022957,0.28279998898506165,6669.581690782175,7593.6482731384995,256,8192,6,0.75
matmul,cuda,1024,1024,1024,1024,64_64_32_2_4,64,64,32,2,4,bayesian;random,2,0.4209039956331253,0.4193760007619858,5102.141989693779,5120.664139335887,512,16384,3,0.75
matmul,cuda,1024,1024,1024,1024,64_64_32_4_2,64,64,32,4,2,bayesian;random,9,0.35513244403733146,0.2924960106611252,6134.495913158088,7341.924572393547,512,16384,3,0.75
matmul,cuda,1024,1024,1024,1024,64_64_32_4_4,64,64,32,4,4,bayesian;random,2,0.309128001332283,0.26918400824069977,7064.866319062093,7977.753440983599,256,16384,3,0.375
matmul,cuda,1024,1024,1024,1024,64_64_8_2_4,64,64,8,2,4,bayesian;random,7,0.4163108595779964,0.36608000099658966,5195.357461663322,5866.159424589833,512,4096,4,1.0
matmul,cuda,1024,1024,1024,1024,64_64_8_4_2,64,64,8,4,2,bayesian;random,6,0.37350400040547055,0.31836800277233124,5835.425689744275,6745.287306826783,512,4096,4,1.0
matmul,cuda,1024,1024,1024,1024,64_64_8_4_4,64,64,8,4,4,bayesian;random,6,0.35450133432944614,0.3112799972295761,6099.396820681663,6898.880966052508,256,4096,8,1.0
matmul,cuda,2048,2048,2048,2048,128_32_16_2_4,128,32,16,2,4,bayesian;random,5,2.761539173126221,2.5214239358901978,6266.788671097648,6813.558378446418,512,10240,4,1.0
matmul,cuda,2048,2048,2048,2048,128_32_16_4_2,128,32,16,4,2,bayesian;random,7,2.3095017671585083,2.0623520612716675,7532.290561795514,8330.231053473342,512,10240,4,1.0
matmul,cuda,2048,2048,2048,2048,128_32_16_4_4,128,32,16,4,4,bayesian;random,3,2.4266666968663535,2.393168091773987,7080.302256708098,7178.713957892133,256,10240,4,0.5
matmul,cuda,2048,2048,2048,2048,128_32_32_2_4,128,32,32,2,4,bayesian;random,3,2.441200017929077,2.2919199466705322,7051.354712707178,7495.841732586325,512,20480,2,0.5
matmul,cuda,2048,2048,2048,2048,128_32_32_4_2,128,32,32,4,2,bayesian;random,3,4.419141372044881,3.7311999797821045,3939.562833381559,4604.381774520505,512,20480,2,0.5
matmul,cuda,2048,2048,2048,2048,128_32_32_4_4,128,32,32,4,4,bayesian;random,5,2.134041595458984,1.8015040159225464,8157.600307934955,9536.403489615439,256,20480,2,0.25
matmul,cuda,2048,2048,2048,2048,128_32_8_2_4,128,32,8,2,4,bayesian;random,4,2.584975987672806,2.498255968093872,6648.59780845692,6876.744978661236,512,5120,4,1.0
matmul,cuda,2048,2048,2048,2048,128_32_8_4_2,128,32,8,4,2,bayesian;random,5,2.483727979660034,2.3351680040359497,6931.153936504554,7357.016349276562,512,5120,4,1.0
matmul,cuda,2048,2048,2048,2048,128_32_8_4_4,128,32,8,4,4,random,1,2.1211999654769897,2.1211999654769897,8099.127599286378,8099.127599286378,256,5120,8,1.0
matmul,cuda,2048,2048,2048,2048,128_64_16_4_4,128,64,16,4,4,bayesian;random,6,2.354629317919413,2.0405759811401367,7372.061503018198,8419.12741440828,512,12288,4,1.0
matmul,cuda,2048,2048,2048,2048,128_64_32_4_4,128,64,32,4,4,bayesian;random,8,2.343596011400223,2.1326080560684204,7379.113724015294,8055.802441106796,512,24576,2,0.5
matmul,cuda,2048,2048,2048,2048,128_64_8_4_4,128,64,8,4,4,bayesian;random,7,2.19539429460253,1.8837120532989502,7911.046253744226,9120.220446597901,512,6144,4,1.0
matmul,cuda,2048,2048,2048,2048,32_128_16_2_4,32,128,16,2,4,bayesian;random,4,2.4674639999866486,2.3177599906921387,7020.396944271786,7412.272734447228,512,10240,4,1.0
matmul,cuda,2048,2048,2048,2048,32_128_16_4_2,32,128,16,4,2,bayesian;random,7,2.165170277867998,2.035968065261841,7986.0730811570975,8438.182050655367,512,10240,4,1.0
matmul,cuda,2048,2048,2048,2048,32_128_16_4_4,32,128,16,4,4,bayesian,4,1.8733360171318054,1.7003840208053589,9246.24792835043,10103.523071137211,256,10240,4,0.5
matmul,cuda,2048,2048,2048,2048,32_128_32_2_4,32,128,32,2,4,bayesian;random,2,2.376736044883728,2.2209759950637817,7259.52418231921,7735.279094498556,512,20480,2,0.5
matmul,cuda,2048,2048,2048,2048,32_128_32_4_2,32,128,32,4,2,random,4,2.300079971551895,2.050495982170105,7557.079087655104,8378.396901718383,512,20480,2,0.5
matmul,cuda,2048,2048,2048,2048,32_128_32_4_4,32,128,32,4,4,random,2,1.9350560307502747,1.680832028388977,9034.159756842046,10221.050583184298,256,20480,2,0.25
matmul,cuda,2048,2048,2048,2048,32_128_8_2_4,32,128,8,2,4,bayesian;random,5,2.534217596054077,2.362831950187683,6825.822854469641,7270.880683086827,512,5120,4,1.0
matmul,cuda,2048,2048,2048,2048,32_128_8_4_2,32,128,8,4,2,bayesian;random,8,2.4002020210027695,2.0676480531692505,7237.575270746503,8308.894329316361,512,5120,4,1.0
matmul,cuda,2048,2048,2048,2048,32_128_8_4_4,32,128,8,4,4,bayesian;random,5,2.0758368134498597,1.936735987663269,8292.668686390152,8870.527161901935,256,5120,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_16_1_2,32,32,16,1,2,bayesian;random,4,4.369327962398529,3.7872159481048584,3989.378161922042,4536.27926672544,512,4096,4,1.0
matmul,cuda,2048,2048,2048,2048,32_32_16_1_4,32,32,16,1,4,bayesian;random,5,4.123625612258911,3.675568103790283,4221.52498909055,4674.071789415068,256,4096,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_16_2_1,32,32,16,2,1,bayesian;random,4,3.9482200145721436,3.364799976348877,4386.713404245222,5105.762394423744,512,4096,4,1.0
matmul,cuda,2048,2048,2048,2048,32_32_16_2_2,32,32,16,2,2,bayesian,1,2.542880058288574,2.542880058288574,6756.067447224588,6756.067447224588,256,4096,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_16_2_4,32,32,16,2,4,bayesian;random,4,2.9233919978141785,2.479871988296509,5927.6261392677125,6927.724199103243,128,4096,12,0.75
