kernel,backend,size,M,N,K,algorithm,comparison,runs,baseline_time_ms,baseline_mean_time_ms,baseline_ci_half_ms,baseline_source,baseline_config_id,final_mean_best_ms,final_median_best_ms,final_std_best_ms,mean_improvement_ms,median_improvement_ms,mean_time_reduction_pct,median_time_reduction_pct,mean_speedup,median_speedup,improved_runs,improved_run_pct,all_runs_improved,one_sample_t_statistic,one_sample_t_p_value_one_sided,wilcoxon_statistic,wilcoxon_p_value_one_sided,significant_at_0_05,conclusion,reason
matmul,sycl,4096,4096,4096,4096,bayesian,default_baseline_vs_final_best,10,64.33689498901367,64.31682586669922,0.13881120212847933,default_baseline,32_32_32_1_1,21.349529552459718,20.902143955230713,1.1788510891568433,42.98736543655396,43.43475103378296,66.81603991596826,67.51141944478357,3.021173802480764,3.0780048320799245,10,100.0,yes,115.31395834459181,7.0420940390962755e-16,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
matmul,sycl,4096,4096,4096,4096,random,default_baseline_vs_final_best,10,64.33689498901367,64.31682586669922,0.13881120212847933,default_baseline,32_32_32_1_1,21.315481662750244,21.339136123657227,0.7472840562502061,43.02141332626343,42.997758865356445,66.8689611670098,66.83219461041577,3.0217000295383807,3.0149948172073784,10,100.0,yes,182.0534683332815,1.1576248465756729e-17,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,cuda,1024,1024,1024,512,bayesian,default_baseline_vs_final_best,10,10.62553596496582,10.044080018997192,0.8797226731342852,default_baseline,16_64_0_1_1,5.802351999282837,5.53057599067688,0.6110726977922832,4.823183965682984,5.09495997428894,45.392382855658596,47.95014567818396,1.848373176116466,1.9212590545867372,10,100.0,yes,24.95979113559774,6.385383606987615e-10,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,cuda,1024,1024,1024,512,random,default_baseline_vs_final_best,10,10.62553596496582,10.044080018997192,0.8797226731342852,default_baseline,16_64_0_1_1,6.3300800085067745,6.373216152191162,0.6201648370227306,4.295455956459046,4.252319812774658,40.42578153819145,40.019814782005085,1.6934420569984445,1.6677865057827286,10,100.0,yes,21.902925803659798,2.03374075295187e-09,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,cuda,2048,2048,2048,512,bayesian,default_baseline_vs_final_best,10,24.15321636199951,24.664291381835938,0.5199397937611342,default_baseline,16_64_0_1_1,16.312830257415772,16.39628028869629,0.5189321205538241,7.84038610458374,7.756936073303223,32.46104364352524,32.115540874743644,1.481974468515321,1.4731954591714946,10,100.0,yes,47.77788239270908,1.9311125598441106e-12,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,cuda,2048,2048,2048,512,random,default_baseline_vs_final_best,10,24.15321636199951,24.664291381835938,0.5199397937611342,default_baseline,16_64_0_1_1,16.422620916366576,16.31881618499756,0.34125034092317796,7.730595445632934,7.834400177001953,32.006484477138024,32.43626049459769,1.471295921037996,1.4800949701113655,10,100.0,yes,71.63740616753779,5.087085906863332e-14,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,cuda,4096,4096,4096,512,bayesian,default_baseline_vs_final_best,10,91.78607940673828,91.8224250793457,0.08350091862872132,default_baseline,16_64_0_1_1,65.7938835144043,65.26016807556152,1.1282692102703158,25.992195892333985,26.525911331176758,28.318233070129175,28.899710612576197,1.3954194847736827,1.4064640509767488,10,100.0,yes,72.85011383883774,4.374801263109408e-14,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,cuda,4096,4096,4096,512,random,default_baseline_vs_final_best,10,91.78607940673828,91.8224250793457,0.08350091862872132,default_baseline,16_64_0_1_1,65.65228729248047,65.31485557556152,1.0000427474389315,26.133792114257812,26.471223831176758,28.472500713805687,28.84012913752739,1.3983533734116678,1.4052865120607763,10,100.0,yes,82.63877438244073,1.408789577706322e-14,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,sycl,1024,1024,1024,512,bayesian,default_baseline_vs_final_best,10,14.239471912384033,14.284201335906982,0.17645814062770568,default_baseline,16_64_0_1_1,10.174819326400756,10.030496835708618,0.4827533640598315,4.064652585983277,4.208975076675415,28.54496719396074,29.55850541771061,1.402211729051351,1.4196913301323812,10,100.0,yes,26.625521489701114,3.5953595862940523e-10,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
stencil,sycl,1024,1024,1024,512,random,default_baseline_vs_final_best,10,14.239471912384033,14.284201335906982,0.17645814062770568,default_baseline,16_64_0_1_1,10.374984216690063,10.404438257217407,0.4821247959526808,3.8644876956939695,3.835033655166626,27.13926274423867,26.932414901084265,1.3751230673187138,1.3686300023947138,10,100.0,yes,25.347344112307454,5.568413219239674e-10,55.0,0.0009765625,yes,Significant and consistent autotuning improvement,every tuned run is faster than the logged default baseline
