kernel,backend,size,M,N,K,algorithm,comparison,runs,trial_1_mean_best_ms,final_mean_best_ms,trial_1_median_best_ms,final_median_best_ms,mean_improvement_ms,median_improvement_ms,mean_time_reduction_pct,median_time_reduction_pct,mean_speedup,median_speedup,improved_runs,improved_run_pct,all_runs_improved,paired_t_statistic,paired_t_p_value_one_sided,wilcoxon_statistic,wilcoxon_p_value_one_sided,significant_at_0_05,conclusion,reason
matmul,sycl,4096,4096,4096,4096,bayesian,trial_1_best_vs_final_best,10,64.19384288787842,21.349529552459718,64.26803016662598,20.902143955230713,42.844313335418704,43.116543769836426,66.74270899344518,67.39413399166983,3.014367555576239,3.06693280846007,10,100.0,yes,116.50242079192506,6.421678940648549e-16,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
matmul,sycl,4096,4096,4096,4096,random,trial_1_best_vs_final_best,10,64.20275192260742,21.315481662750244,64.28825759887695,21.339136123657227,42.887270259857175,42.776830196380615,66.80166759706485,66.71877231858652,3.0151579309971837,3.004728691813974,10,100.0,yes,210.55448592431168,3.127517206982746e-18,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,cuda,1024,1024,1024,512,bayesian,trial_1_best_vs_final_best,10,10.433663988113404,5.802351999282837,10.412168264389038,5.53057599067688,4.631311988830566,4.245463967323303,41.414081461055645,40.98799289872712,1.8020064493281183,1.6949328668366477,10,100.0,yes,6.063549313154515,9.368307041929633e-05,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,cuda,1024,1024,1024,512,random,trial_1_best_vs_final_best,10,10.318304085731507,6.3300800085067745,9.734872102737427,6.373216152191162,3.9882240772247313,3.560711979866028,36.422732792372116,37.160835858654394,1.6324965020576454,1.5965911199525076,10,100.0,yes,6.096140330924852,9.004304746566348e-05,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,cuda,2048,2048,2048,512,bayesian,trial_1_best_vs_final_best,10,21.266168117523193,16.312830257415772,22.753040313720703,16.39628028869629,4.953337860107422,5.811480522155762,20.95247509173332,25.329803191728438,1.3020673385497525,1.3422948713616036,8,80.0,no,4.255360056184468,0.001062810385031571,36.0,0.00390625,yes,Significant optimization improvement,final best improved in 8/10 runs
stencil,cuda,2048,2048,2048,512,random,trial_1_best_vs_final_best,10,21.85239028930664,16.422620916366576,23.600200176239014,16.31881618499756,5.429769372940063,7.111527919769287,23.378909168490217,29.927248133776864,1.3325030065637007,1.4272795132130456,10,100.0,yes,5.557222747444449,0.00017656634564128942,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,cuda,4096,4096,4096,512,bayesian,trial_1_best_vs_final_best,10,88.2816722869873,65.7938835144043,91.90836715698242,65.26016807556152,22.48778877258301,25.572669982910156,22.600687384060517,27.33223701123396,1.3398376289012213,1.3839281759893476,10,100.0,yes,4.115662829778302,0.0013074056521700022,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,cuda,4096,4096,4096,512,random,trial_1_best_vs_final_best,10,91.8929832458496,65.65228729248047,98.41026496887207,65.31485557556152,26.24069595336914,33.411216735839844,26.965763675341446,33.63610399531079,1.3995202598060954,1.5068448051419927,10,100.0,yes,6.072692540729594,9.264599298885816e-05,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,sycl,1024,1024,1024,512,bayesian,trial_1_best_vs_final_best,10,12.93317265510559,10.174819326400756,12.951988697052002,10.030496835708618,2.758353328704834,2.7971439361572266,20.638089663726973,21.140302112951304,1.275502732943208,1.2681014524758352,10,100.0,yes,6.132999858621628,8.611069577789591e-05,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,sycl,1024,1024,1024,512,random,trial_1_best_vs_final_best,10,13.179161787033081,10.374984216690063,13.249597311019897,10.404438257217407,2.8041775703430174,3.132504463195801,20.77590407368913,23.321162371681897,1.269326363144358,1.3042084042837634,10,100.0,yes,8.576732194891326,6.31987069856609e-06,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,sycl,2048,2048,2048,512,bayesian,trial_1_best_vs_final_best,10,43.010749626159665,28.6589075088501,43.107038497924805,28.610830783843994,14.35184211730957,14.370137214660645,33.3684290858847,33.458242795224066,1.5013436912475768,1.5028310095774655,10,100.0,yes,77.55472248280878,2.492930100941763e-14,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,sycl,2048,2048,2048,512,random,trial_1_best_vs_final_best,10,42.95441932678223,28.426999282836913,43.11971187591553,28.49744462966919,14.527420043945312,14.544754028320312,33.81867236896416,33.769133627456064,1.5110841648604192,1.509870027067426,10,100.0,yes,154.2859007296108,5.1313669080550463e-17,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,sycl,4096,4096,4096,512,bayesian,trial_1_best_vs_final_best,10,120.21328468322754,72.79192390441895,124.36652374267578,72.79153060913086,47.42136077880859,51.65166091918945,38.55256733674824,41.57019857062995,1.6525498371352547,1.7128711298315409,10,100.0,yes,10.292732725787811,1.4064279233759034e-06,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
stencil,sycl,4096,4096,4096,512,random,trial_1_best_vs_final_best,10,124.28500175476074,72.05972633361816,131.37342071533203,72.28279304504395,52.22527542114258,59.63469123840332,41.17648025177954,44.82315345118554,1.724853877246639,1.812354537532973,10,100.0,yes,11.384628918539418,6.020596017808848e-07,55.0,0.0009765625,yes,Significant and consistent optimization improvement,final best is lower than trial 1 in every run
